Date,Product_ID,Product_Name,Category,Warehouse,Opening_Stock,Units_Received,Units_Sold,Closing_Stock,Stockout_Flag,Lead_Time_Days,Supplier,Unit_Cost,Unit_Price
2024-04-12,P0098,Product_98,Grocery,Warehouse B,152,51,136,67,No,5,Supplier Y,54.93,66.86
2024-06-28,P0089,Product_89,Clothing,Warehouse B,445,137,144,438,No,4,Supplier Z,55.19,96.32
2024-04-02,P0050,Product_50,Electronics,Warehouse B,56,73,46,83,No,4,Supplier Z,96.34,163.1
2024-01-15,P0029,Product_29,Clothing,Warehouse C,177,40,58,159,No,11,Supplier X,35.48,63.28
2024-04-16,P0057,Product_57,Grocery,Warehouse A,104,76,53,127,No,13,Supplier Z,50.56,62.44
2024-03-12,P0039,Product_39,Grocery,Warehouse C,280,130,85,325,No,9,Supplier Y,82.11,106.23
2024-01-21,P0095,Product_95,Clothing,Warehouse B,411,186,11,586,No,14,Supplier X,77.1,97.39
2024-04-12,P0056,Product_56,Electronics,Warehouse B,111,113,5,219,No,11,Supplier Y,30.25,48.7
2024-05-01,P0043,Product_43,Clothing,Warehouse A,289,51,52,288,No,13,Supplier Y,19.35,30.26
2024-03-15,P0050,Product_50,Electronics,Warehouse C,139,161,143,157,No,2,Supplier X,71.57,101.31
2024-03-28,P0023,Product_23,Clothing,Warehouse B,281,176,89,368,No,6,Supplier Y,29.48,36.39
2024-04-26,P0044,Product_44,Grocery,Warehouse A,282,155,4,433,No,14,Supplier X,92.65,146.74
2024-04-09,P0038,Product_38,Furniture,Warehouse B,403,86,72,417,No,8,Supplier Y,17.28,26.65
2024-04-13,P0084,Product_84,Furniture,Warehouse A,382,108,13,477,No,8,Supplier X,35.24,44.68
2024-05-31,P0023,Product_23,Electronics,Warehouse A,488,140,105,523,No,11,Supplier Z,10.2,17.8
2024-05-10,P0045,Product_45,Electronics,Warehouse C,424,68,51,441,No,7,Supplier Y,71.81,94.74
2024-05-29,P0052,Product_52,Electronics,Warehouse B,341,119,115,345,No,10,Supplier X,89.67,147.61
2024-02-22,P0080,Product_80,Grocery,Warehouse C,394,66,25,435,No,11,Supplier Y,65.41,113.23
2024-01-02,P0050,Product_50,Clothing,Warehouse B,201,60,52,209,No,4,Supplier Y,94.09,145.62
2024-03-28,P0008,Product_8,Grocery,Warehouse C,477,187,108,556,No,7,Supplier Y,17.21,23.2
2024-06-06,P0085,Product_85,Furniture,Warehouse B,194,70,28,236,No,13,Supplier X,13.33,18.47
2024-02-07,P0001,Product_1,Electronics,Warehouse C,179,151,18,312,No,10,Supplier Z,84.65,146.57
2024-05-09,P0008,Product_8,Clothing,Warehouse A,190,190,46,334,No,6,Supplier Z,86.27,118.96
2024-01-21,P0029,Product_29,Furniture,Warehouse B,464,188,135,517,No,11,Supplier Z,83.95,138.33
2024-06-09,P0096,Product_96,Furniture,Warehouse B,142,150,22,270,No,6,Supplier X,80.9,145.14
2024-02-27,P0005,Product_5,Furniture,Warehouse A,163,29,116,76,No,2,Supplier Z,39.41,70.93
